h3_cell,lat,lon
892a10725afffff,40.75497462014091,-73.99448766042539
892a10725b3ffff,40.76037304765331,-73.99041883142932
892a10725b7ffff,40.75778956314486,-73.98817672350651
892a10725bbffff,40.76025721052243,-73.99469570642187
892a1072803ffff,40.70416790835037,-74.01600847979246
892a1072807ffff,40.701586760075365,-74.01376760272267
892a1072813ffff,40.706865819195635,-74.01397758214198
892a1072817ffff,40.70428454398579,-74.01173669149
892a107281bffff,40.70674910133614,-74.01824960700279
892a1072883ffff,40.7096802661834,-74.0076741787482
892a1072887ffff,40.70709878183493,-74.00543351115385
892a107288bffff,40.70956378150535,-74.01194645439377
892a107288fffff,40.70698237936226,-74.00970555017649
892a1072893ffff,40.71237820442782,-74.0056425771711
892a1072897ffff,40.70979659314705,-74.00340189606727
892a107289bffff,40.712261795258144,-74.0099150965138
892a10728b3ffff,40.704517342235015,-74.00319309369571
892a10728bbffff,40.70440102194768,-74.00746489610857
892a10728c7ffff,40.70944713911399,-74.01621872295645
892a10728d3ffff,40.71472671988807,-74.01642901341648
892a10728d7ffff,40.71214522835471,-74.01418760879541
892a1072c03ffff,40.72305436427269,-74.00178736299634
892a1072c07ffff,40.72047232748709,-73.99954639120696
892a1072c0bffff,40.72293809951892,-74.00606085032427
892a1072c0fffff,40.720356144961315,-74.00381964174338
892a1072c13ffff,40.725752634920234,-73.99975485394748
892a1072c17ffff,40.723170471210885,-73.99751386869457
892a1072c1bffff,40.725636445753395,-74.00402858507962
892a1072c23ffff,40.7151923699604,-73.99933797536255
892a1072c27ffff,40.7126105495616,-73.99709751749248
892a1072c2bffff,40.71507619407417,-74.0036107454112
892a1072c2fffff,40.71249445586266,-74.00137005081483
892a1072c33ffff,40.71789033541887,-73.99730566967641
892a1072c37ffff,40.715308388090286,-73.99506519836963
892a1072c3bffff,40.71777423510105,-74.00157868343452
892a1072c47ffff,40.722821676950645,-74.0103343306308
892a1072c53ffff,40.72810214263707,-74.01054401844232
892a1072c57ffff,40.725520098751595,-74.00830230921224
892a1072c63ffff,40.71754156113931,-74.01012468999326
892a1072c67ffff,40.714959860432664,-74.0078835084681
892a1072c6bffff,40.7174249874975,-74.01439768269891
892a1072c6fffff,40.714843369036934,-74.01215626448567
892a1072c73ffff,40.720239804640435,-74.00809288528414
892a1072c77ffff,40.71765797700752,-74.00585169022261
892a1072c7bffff,40.72012330652548,-74.0123661217817
892a1072c83ffff,40.72856691258619,-73.9934481326791
892a1072c87ffff,40.72598453974479,-73.9912073708746
892a1072c8bffff,40.72845095688254,-73.99772211456276
892a1072c8fffff,40.72586866625106,-73.99548111586327
892a1072c93ffff,40.731265210194884,-73.99141491910795
892a1072c97ffff,40.72868271043229,-73.98917414391278
892a1072c9bffff,40.73114933013826,-73.99568914480811
892a1072ca3ffff,40.72070421914906,-73.99099986933716
892a1072ca7ffff,40.718122062723076,-73.98875962144035
892a1072cabffff,40.72058835221668,-73.99527313372238
892a1072cafffff,40.718006277959894,-73.99303264899582
892a1072cb3ffff,40.72340221163636,-73.98896685935952
892a1072cb7ffff,40.72081992828315,-73.98672659809884
892a1072cbbffff,40.72328642033247,-73.99324036746646
892a1072cc3ffff,40.73091709639526,-74.00423757543584
892a1072cc7ffff,40.72833484332245,-74.00199608951623
892a1072ccbffff,40.730800742711025,-74.00851178026825
892a1072ccfffff,40.728218571906936,-74.00627005749193
892a1072cd3ffff,40.73361567219517,-74.00220486300994
892a1072cd7ffff,40.731033292204685,-73.99996336359993
892a1072cdbffff,40.73349939411639,-74.00647931174146
892a1072d4bffff,40.70721502661259,-74.0011614651215
892a1072d53ffff,40.71002877392692,-73.99485730978921
892a1072d5bffff,40.70991276239524,-73.99912960639843
892a1072d8bffff,40.71037586221235,-73.98204037879414
892a1072d9bffff,40.7130733469773,-73.9800073154922
892a1072dc3ffff,40.712842263747554,-73.98855243013952
892a1072dc7ffff,40.71026032383652,-73.98631269593956
892a1072dcbffff,40.712726485523575,-73.99282497725156
892a1072dcfffff,40.71014462774103,-73.99058500628709
892a1072dd3ffff,40.71553995107681,-73.98651962374095
892a1072dd7ffff,40.71295788423248,-73.9842798762039
892a1072ddbffff,40.71542424846277,-73.99079241447993
