h3_cell,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score
892a1008b27ffff,0,24,51,0,2,1,1,79,35.27
892a1008b2bffff,0,5,9,3,1,1,0,19,8.48
892a1008b2fffff,0,16,14,0,0,2,0,32,14.29
892a1008b33ffff,0,6,8,3,3,8,0,28,12.5
892a1008b37ffff,0,7,13,5,1,2,0,28,12.5
892a1008b3bffff,0,5,6,0,0,6,0,17,7.59
892a1008b67ffff,0,1,3,3,0,0,0,7,3.12
892a1008b77ffff,0,1,1,0,0,0,0,2,0.89
892a1008b83ffff,1,11,50,0,2,2,0,66,29.46
892a1008b87ffff,0,20,17,1,3,3,0,44,19.64
892a1008b8bffff,0,1,0,0,0,0,0,1,0.45
892a1008b8fffff,0,8,25,1,4,0,0,38,16.96
892a1008b93ffff,0,14,28,1,0,0,0,43,19.2
892a1008b97ffff,0,43,25,1,1,0,0,70,31.25
892a1008b9bffff,0,0,0,0,0,0,0,0,0.0
892a1008ba3ffff,0,31,37,0,1,0,0,69,30.8
892a1008ba7ffff,0,1,0,0,0,0,0,1,0.45
892a1008babffff,0,14,28,0,0,1,0,43,19.2
892a1008bafffff,1,18,18,2,1,2,0,42,18.75
892a1008bb3ffff,0,15,29,0,1,2,0,47,20.98
892a1008bb7ffff,1,0,0,0,0,0,0,1,0.45
892a1008bbbffff,1,30,51,2,0,0,0,84,37.5
892a1008c03ffff,0,5,0,0,0,1,0,6,2.68
892a1008c07ffff,2,21,13,3,0,2,0,41,18.3
892a1008c0fffff,0,0,0,0,1,2,0,3,1.34
892a1008c13ffff,0,1,2,0,0,1,0,4,1.79
892a1008c17ffff,0,5,0,1,0,4,0,10,4.46
892a1008c23ffff,0,3,11,2,0,0,0,16,7.14
892a1008c27ffff,0,8,4,0,0,1,0,13,5.8
892a1008c2bffff,1,10,3,13,0,3,0,30,13.39
892a1008c2fffff,0,5,0,0,0,0,0,5,2.23
892a1008c33ffff,0,5,7,0,0,5,0,17,7.59
892a1008c37ffff,0,5,6,0,0,1,0,12,5.36
892a1008c3bffff,0,3,9,0,0,4,0,16,7.14
892a1008c67ffff,0,0,2,0,0,1,0,3,1.34
892a1008c77ffff,0,0,0,0,0,1,0,1,0.45
892a1008c83ffff,1,8,2,0,0,1,0,12,5.36
892a1008c87ffff,0,0,0,0,0,2,0,2,0.89
892a1008c8bffff,0,1,3,0,0,0,0,4,1.79
892a1008c8fffff,0,2,2,0,0,0,0,4,1.79
892a1008c93ffff,1,5,6,0,1,0,0,13,5.8
892a1008c97ffff,0,3,3,0,2,2,0,10,4.46
892a1008c9bffff,0,0,0,0,0,1,0,1,0.45
892a1008ca3ffff,0,2,3,0,0,1,0,6,2.68
892a1008ca7ffff,0,3,7,1,0,0,0,11,4.91
892a1008cabffff,0,1,0,0,0,1,0,2,0.89
892a1008cafffff,2,5,10,1,0,1,0,19,8.48
892a1008cb3ffff,1,4,3,1,0,3,0,12,5.36
892a1008cb7ffff,0,6,1,0,0,1,0,8,3.57
892a1008cbbffff,0,1,0,0,0,1,0,2,0.89
892a1008cd7ffff,0,0,0,0,0,0,0,0,0.0
892a1008d03ffff,0,0,7,0,0,0,1,8,3.57
892a1008d07ffff,0,1,0,0,0,1,0,2,0.89
892a1008d0bffff,0,1,3,0,0,4,0,8,3.57
892a1008d0fffff,0,1,12,0,0,0,0,13,5.8
892a1008d13ffff,0,3,0,0,0,4,0,7,3.12
892a1008d17ffff,1,17,16,1,0,1,0,36,16.07
892a1008d1bffff,0,4,7,0,0,1,0,12,5.36
892a1008d23ffff,1,7,19,0,0,1,0,28,12.5
892a1008d27ffff,0,2,5,0,0,1,0,8,3.57
892a1008d2bffff,1,27,43,1,0,0,0,72,32.14
892a1008d2fffff,0,3,11,0,0,2,0,16,7.14
892a1008d33ffff,0,14,13,0,0,3,0,30,13.39
892a1008d37ffff,0,3,7,0,0,0,0,10,4.46
892a1008d3bffff,1,14,31,1,0,0,0,47,20.98
892a1008d43ffff,0,5,6,0,0,1,0,12,5.36
892a1008d47ffff,1,3,4,0,0,0,0,8,3.57
892a1008d4bffff,1,11,27,3,0,0,0,42,18.75
892a1008d4fffff,0,0,0,0,1,0,0,1,0.45
892a1008d53ffff,1,14,17,0,0,2,0,34,15.18
892a1008d57ffff,1,4,3,0,0,0,0,8,3.57
892a1008d5bffff,0,11,5,2,0,0,0,18,8.04
892a1008d63ffff,0,0,1,0,2,1,0,4,1.79
892a1008d67ffff,0,1,3,0,0,0,0,4,1.79
892a1008d6bffff,0,0,0,0,0,0,0,0,0.0
892a1008d6fffff,0,0,0,0,0,0,0,0,0.0
892a1008d73ffff,0,1,0,0,3,0,0,4,1.79
892a1008d77ffff,0,6,8,0,0,2,0,16,7.14
892a1008d7bffff,0,1,0,0,1,0,0,2,0.89
892a1008d83ffff,2,7,11,2,0,2,0,24,10.71
892a1008d87ffff,0,0,5,0,0,1,0,6,2.68
892a1008d8bffff,0,1,2,1,0,0,0,4,1.79
892a1008d8fffff,0,0,3,0,0,1,0,4,1.79
892a1008d93ffff,0,0,0,0,0,1,0,1,0.45
892a1008d97ffff,0,0,1,0,0,0,0,1,0.45
892a1008d9bffff,1,4,7,2,0,5,0,19,8.48
892a1008da3ffff,0,13,21,0,1,1,0,36,16.07
892a1008dabffff,0,7,6,1,0,0,0,14,6.25
892a1008dafffff,0,3,2,0,0,0,0,5,2.23
