h3_cell,period,mta_ridership_total,mta_ridership_avg,mta_station_count,mta_transfers_total,mta_load_score,survey_date
892a100ae17ffff,MD,872.0,36.333333333333336,1,5.0,2.04,reference
892a100ae17ffff,NIGHT,130.0,10.833333333333334,1,0.0,0.25,reference
892a100ae17ffff,PM,1569.0,65.375,1,13.0,3.72,reference
892a100ae3bffff,AM,2022.0,96.28571428571428,1,303.0,4.81,reference
892a100ae3bffff,EARLY,777.0,22.852941176470587,1,132.0,1.81,reference
892a100ae3bffff,EVE,1037.0,37.035714285714285,1,109.0,2.44,reference
892a100ae3bffff,MD,1605.0,57.32142857142857,1,171.0,3.81,reference
892a100ae3bffff,NIGHT,174.0,15.818181818181818,1,12.0,0.35,reference
892a100ae3bffff,PM,2437.0,84.03448275862068,1,227.0,5.82,reference
892a100ae67ffff,AM,2722.0,123.72727272727272,1,54.0,6.5,reference
892a100ae67ffff,EARLY,900.0,37.5,1,32.0,2.11,reference
892a100ae67ffff,EVE,877.0,36.54166666666666,1,23.0,2.05,reference
892a100ae67ffff,MD,1685.0,62.407407407407405,1,33.0,4.0,reference
892a100ae67ffff,NIGHT,113.0,10.272727272727272,1,2.0,0.21,reference
892a100ae67ffff,PM,1745.0,62.32142857142857,1,27.0,4.15,reference
892a100ae73ffff,AM,2841.0,135.28571428571428,1,44.0,6.79,reference
892a100ae73ffff,EARLY,633.0,22.607142857142858,1,15.0,1.46,reference
892a100ae73ffff,EVE,671.0,27.95833333333333,1,12.0,1.55,reference
892a100ae73ffff,MD,1548.0,55.285714285714285,1,23.0,3.67,reference
892a100ae73ffff,NIGHT,78.0,7.8,1,0.0,0.12,reference
892a100ae73ffff,PM,1751.0,62.535714285714285,1,41.0,4.16,reference
892a100ae83ffff,AM,1460.0,69.52380952380952,1,16.0,3.46,reference
892a100ae83ffff,EARLY,616.0,18.666666666666668,1,0.0,1.42,reference
892a100ae83ffff,EVE,637.0,24.5,1,11.0,1.47,reference
892a100ae83ffff,MD,970.0,35.925925925925924,1,9.0,2.28,reference
892a100ae83ffff,NIGHT,102.0,11.333333333333334,1,0.0,0.18,reference
892a100ae83ffff,PM,1256.0,46.51851851851852,1,21.0,2.97,reference
892a100aec7ffff,AM,1283.0,75.47058823529412,1,7.0,3.03,reference
892a100aec7ffff,EARLY,246.0,12.3,1,0.0,0.53,reference
892a100aec7ffff,EVE,304.0,14.476190476190476,1,2.0,0.67,reference
892a100aec7ffff,MD,617.0,28.045454545454547,1,12.0,1.42,reference
892a100aec7ffff,NIGHT,54.0,7.714285714285714,1,0.0,0.07,reference
892a100aec7ffff,PM,808.0,35.130434782608695,1,12.0,1.88,reference
892a100d203ffff,AM,1520.0,89.41176470588235,1,119.0,3.6,reference
892a100d203ffff,EARLY,239.0,8.535714285714286,1,15.0,0.51,reference
892a100d203ffff,EVE,4168.0,173.66666666666666,1,62.0,9.99,reference
892a100d203ffff,MD,1935.0,80.625,1,83.0,4.6,reference
892a100d203ffff,NIGHT,645.0,71.66666666666667,1,7.0,1.49,reference
892a100d203ffff,PM,5737.0,212.4814814814815,1,101.0,13.78,reference
892a100d207ffff,AM,3349.0,176.26315789473685,1,270.0,8.02,reference
892a100d207ffff,EARLY,454.0,17.46153846153846,1,62.0,1.03,reference
892a100d207ffff,EVE,4051.0,155.80769230769232,1,61.0,9.71,reference
892a100d207ffff,MD,2764.0,106.3076923076923,1,126.0,6.61,reference
892a100d207ffff,NIGHT,707.0,54.38461538461539,1,10.0,1.64,reference
892a100d207ffff,PM,7209.0,277.2692307692308,1,170.0,17.33,reference
892a100d20bffff,AM,4213.0,221.73684210526315,1,97.0,10.1,reference
892a100d20bffff,EARLY,411.0,14.172413793103448,1,11.0,0.93,reference
892a100d20bffff,EVE,5547.0,213.34615384615384,1,69.0,13.32,reference
892a100d20bffff,MD,3201.0,128.04,1,91.0,7.66,reference
892a100d20bffff,NIGHT,603.0,54.81818181818182,1,10.0,1.39,reference
892a100d20bffff,PM,7228.0,267.7037037037037,1,119.0,17.38,reference
892a100d217ffff,AM,2292.0,104.1818181818182,1,7.0,5.47,reference
892a100d217ffff,EARLY,463.0,14.935483870967742,1,1.0,1.05,reference
892a100d217ffff,EVE,3353.0,115.6206896551724,1,14.0,8.03,reference
892a100d217ffff,MD,2120.0,88.33333333333333,1,11.0,5.05,reference
892a100d217ffff,NIGHT,718.0,51.285714285714285,1,3.0,1.67,reference
892a100d217ffff,PM,5430.0,181.0,1,19.0,13.04,reference
892a100d21bffff,AM,1025.0,53.94736842105263,1,5.0,2.41,reference
892a100d21bffff,EARLY,360.0,15.0,1,1.0,0.8,reference
892a100d21bffff,EVE,2568.0,107.0,1,5.0,6.13,reference
892a100d21bffff,MD,1434.0,57.36,1,8.0,3.4,reference
892a100d21bffff,NIGHT,674.0,61.27272727272727,1,1.0,1.56,reference
892a100d21bffff,PM,2942.0,108.96296296296296,1,4.0,7.03,reference
892a100d223ffff,AM,453.0,30.2,1,37.0,1.03,reference
892a100d223ffff,EARLY,206.0,10.3,1,14.0,0.43,reference
892a100d223ffff,EVE,1698.0,84.9,1,64.0,4.03,reference
892a100d223ffff,MD,589.0,31.0,1,32.0,1.36,reference
892a100d223ffff,NIGHT,405.0,40.5,1,21.0,0.91,reference
892a100d223ffff,PM,1505.0,75.25,1,120.0,3.57,reference
892a100d227ffff,AM,4620.0,231.0,1,119.0,11.08,reference
892a100d227ffff,EARLY,823.0,22.86111111111111,1,26.0,1.92,reference
892a100d227ffff,EVE,4502.0,173.15384615384616,1,121.0,10.8,reference
892a100d227ffff,MD,2874.0,102.64285714285714,1,119.0,6.87,reference
892a100d227ffff,NIGHT,1071.0,82.38461538461539,1,14.0,2.52,reference
892a100d227ffff,PM,6041.0,194.8709677419355,1,243.0,14.51,reference
